,mae,mae,spearman,spearman,auc_perfect_recall,auc_perfect_recall
,mean,std,mean,std,mean,std
model,,,,,,
GBM,0.1706,0.0011,0.1375,0.0128,0.6071,0.0087
GBM__lag>=5min,0.1748,0.0008,0.1257,0.0125,0.5974,0.0087
HLR_tuned,0.1669,0.0033,0.045,0.0095,0.5354,0.0073
Ridge_linear,0.1715,0.0009,0.1289,0.0145,0.6012,0.01
baseline_global_mean,0.1756,0.0011,,,0.5,0.0
baseline_global_mean__lag>=5min,0.1773,0.0007,,,0.5,0.0
